teamOwner,teamName,teamTransactions,teamTrades,season,teamRankRegSeason,teamRecordRegSeason,teamWinPctRegSeason,teamPointsForRegSeason,teamPointsAgainstRegSeason,teamFinalStanding
Mike,MrPigSkinner,41,0,2013,1,9-4-0,0.692,1443.41,1262.96,4
Brian,DoyouseewhathappensLarry,21,0,2013,4,8-5-0,0.615,1337.09,1284.94,1
AJ ,Dick Flickers,15,0,2014,2,9-4-0,0.692,1610.79,1317.01,1
Sam,Team A-Murray-ca World Police,22,0,2014,3,9-4-0,0.692,1407.96,1345.37,3
Rob,senor manberto,19,0,2014,9,5-8-0,0.385,1291.9,1316.87,8
Matt,Mongorians,7,0,2014,1,10-3-0,0.769,1486.76,1225.76,2
Mike,Donkey Punch,27,0,2014,5,8-5-0,0.615,1309.44,1227.31,4
Kameron,Drunken Monkeys,27,0,2014,7,7-6-0,0.538,1286.64,1214.79,7
Aaron,1 Horse Sized Duck,14,0,2014,12,2-11-0,0.154,1038.58,1311.46,11
Dan,DR Philthy,19,0,2014,11,3-10-0,0.231,1115.38,1433.2,12
Matthew,Turf Muncher,20,0,2014,8,6-7-0,0.462,1285.1,1408.95,10
Colin,Im a scientist,17,0,2014,10,4-9-0,0.308,1239.18,1373.33,9
Mike,MrPigSkinner,25,0,2014,6,7-6-0,0.538,1314.1,1316.67,6
Brian,DoyouseewhathappensLarry,9,0,2014,4,8-5-0,0.615,1390.42,1285.53,5
AJ ,Digbick McCocknballs III,23,0,2015,7,7-6-0,0.538,1257.16,1208.32,9
Sam,ZJ Anderson,24,0,2015,10,6-7-0,0.462,1413.13,1328.55,12
Rob,senor manberto,17,0,2015,1,8-5-0,0.615,1407.89,1320.75,2
Matt,Mongorians,11,0,2015,11,4-9-0,0.308,1130.68,1199.21,7
Mike,Foosball Is The DEVIL,24,0,2015,6,7-6-0,0.538,1329.11,1331.87,1
Kameron,Drunken Monkeys,31,0,2015,4,8-5-0,0.615,1315.26,1264.24,5
Aaron,Doomsday,13,0,2015,9,7-6-0,0.538,1229.8,1202.34,10
Dan,DR Philthy,10,0,2015,12,1-12-0,0.077,1060.18,1358.73,11
Matthew,Turf Muncher,29,0,2015,8,7-6-0,0.538,1255.0,1312.34,8
Colin,Im a scientist,19,0,2015,5,7-6-0,0.538,1333.29,1288.9,3
Mike,MrPigSkinner,32,0,2015,2,8-5-0,0.615,1386.3,1300.6,4
Brian,DoyouseewhathappensLarry,31,0,2015,3,8-5-0,0.615,1325.12,1327.07,6
AJ ,Allah Bout Dem Benjamins,16,0,2016,2,9-4-0,0.692,1302.22,1256.18,1
Sam,Bell Peppers,20,0,2016,11,4-9-0,0.308,1262.44,1346.87,8
Rob,Buildin 'Merica,19,0,2016,7,7-6-0,0.538,1299.58,1271.61,9
Matt,Mongorians,11,0,2016,10,5-8-0,0.385,1129.35,1229.63,11
Mike,Wall Or Nothin,25,0,2016,5,7-6-0,0.538,1439.88,1303.97,6
Kameron,Drunken Monkeys,27,0,2016,1,9-4-0,0.692,1506.11,1267.42,4
Aaron,I Cursed AJ Crane,26,0,2016,4,8-5-0,0.615,1367.72,1303.91,2
Dan,DR Philthy,26,0,2016,8,5-8-0,0.385,1251.42,1400.64,10
Matthew,Turf Muncher,31,0,2016,3,8-5-0,0.615,1384.28,1323.37,5
Colin,Im a scientist,19,0,2016,6,7-6-0,0.538,1327.42,1284.1,3
Mike,Mr Pig Skinner,39,0,2016,12,4-9-0,0.308,1147.23,1236.09,12
Brian,DaHazzelhoffs,12,0,2016,9,5-8-0,0.385,1151.64,1345.5,7
AJ ,Sir Schlongdongler,13,0,2017,8,6-7-0,0.462,1176.96,1181.11,8
Sam,He Wore the Brown Pants,27,0,2017,4,7-6-0,0.538,1420.19,1329.35,5
Rob,Buildin 'Merica,28,0,2017,6,6-7-0,0.462,1251.99,1247.12,2
Mike,Wall or Nothin,22,0,2017,11,4-9-0,0.308,1257.16,1291.82,7
Kameron,Drunken Monkeys,35,0,2017,5,6-7-0,0.462,1361.9,1237.09,1
Aaron,How do I even have 1 win,11,0,2017,7,6-7-0,0.462,1212.29,1286.79,9
Dan,DR Philthy,14,0,2017,2,9-4-0,0.692,1374.48,1229.81,4
Matthew,Turf Muncher,29,0,2017,12,4-9-0,0.308,1071.98,1265.26,11
Colin,Im a scientist,12,0,2017,10,5-8-0,0.385,1132.38,1363.04,12
Mike,Mr Pig Skinner,41,0,2017,1,10-3-0,0.769,1267.16,1119.64,3
Brian,DaHazzelhoffs,23,0,2017,9,6-7-0,0.462,1155.54,1251.8,10
Alex,2Gurleys1Kupp,74,0,2017,3,9-4-0,0.692,1300.56,1179.76,6
AJ ,Saquon Deez Nuts,13,0,2018,1,9-4-0,0.692,1522.63,1315.42,4
Sam,Downtown Brown,22,1,2018,12,2-11-0,0.154,1252.46,1502.2,11
Rob,Shakin Bacon,30,0,2018,5,8-5-0,0.615,1327.95,1275.69,2
Mike,I Shit In Your Mouth,28,0,2018,9,5-8-0,0.385,1436.67,1493.22,8
Kameron,Drunken Monkeys,34,0,2018,2,9-4-0,0.692,1479.08,1343.09,1
Aaron,No Curses Only Blessings,12,0,2018,8,6-7-0,0.462,1216.9,1216.5,10
Dan,DR Philthy,19,0,2018,11,4-9-0,0.308,1092.31,1291.06,7
Matthew,Turf Muncher,26,0,2018,6,8-5-0,0.615,1228.26,1287.3,6
Colin,Im a scientist,9,0,2018,7,7-6-0,0.538,1486.76,1345.58,9
Mike,Mr Pig Skinner,40,0,2018,3,8-5-0,0.615,1548.9,1364.05,3
Brian,DaHazzelhoffs,20,0,2018,10,4-9-0,0.308,1209.09,1404.92,12
Alex,Mariota Kart,43,1,2018,4,8-5-0,0.615,1477.82,1439.8,5
AJ ,Testecleez,24,0,2019,4,8-5-0,0.615,1192.68,1193.73,3
Sam,Conned by Connor,25,0,2019,11,5-8-0,0.385,1208.89,1328.07,11
Rob,Shakin Bacon,16,0,2019,7,7-6-0,0.538,1271.74,1103.55,9
Mike,Kirkpat Attack,24,1,2019,3,8-5-0,0.615,1417.34,1440.82,4
Kameron,Drunken Monkeys,24,0,2019,2,8-5-0,0.615,1551.26,1391.58,1
Aaron,No Curses Only Blessings,13,0,2019,5,7-6-0,0.538,1301.62,1321.12,6
Dan,Tarin Holez,8,0,2019,10,5-8-0,0.385,1252.32,1377.76,8
Matthew,Turf Muncher,25,0,2019,12,4-9-0,0.308,1104.96,1366.97,12
Colin,Im a scientist,28,1,2019,6,7-6-0,0.538,1286.84,1280.29,5
Mike,Mr Pig Skinner,40,1,2019,8,5-8-0,0.385,1425.41,1371.93,10
Brian,DaHazzelhoffs,19,0,2019,1,9-4-0,0.692,1440.92,1283.44,2
Alex,By-Ard 2 By-Arder,43,1,2019,9,5-8-0,0.385,1267.56,1262.28,7
AJ ,Kamala-ver Muhfingas,19,0,2020,11,3-10-0,0.231,1181.02,1312.17,8
Sam,Highly Questionable,30,0,2020,9,6-7-0,0.462,1343.95,1423.45,10
Rob,Shakin Bacon,16,0,2020,10,5-8-0,0.385,1200.74,1281.73,11
Mike,COVIC-TORY,30,1,2020,6,7-6-0,0.538,1416.22,1312.26,5
Kameron,Drunken Monkeys,31,0,2020,2,9-4-0,0.692,1396.11,1289.44,1
Aaron,Ryan Leaf's Ghost,13,0,2020,12,2-11-0,0.154,1064.13,1359.32,12
Dan,Tarin Holez,14,0,2020,7,7-6-0,0.538,1266.1,1337.37,9
Matthew,Turf Muncher,42,0,2020,3,8-5-0,0.615,1463.36,1345.84,4
Colin,Im a scientist,17,0,2020,1,9-4-0,0.692,1444.46,1341.81,3
Mike,Mr Pig Skinner,46,0,2020,5,8-5-0,0.615,1399.48,1285.67,6
Brian,DaHazzelhoffs,16,0,2020,8,6-7-0,0.462,1367.64,1397.65,7
Alex,FERDA PUPPERS,86,1,2020,4,8-5-0,0.615,1452.16,1308.66,2
AJ ,The Monkey Hunter,16,0,2021,12,2-12-0,0.143,1280.26,1635.99,12
Sam,The Honeymooners,22,1,2021,11,3-11-0,0.214,1266.57,1497.91,11
Rob,Shakin Bacon,10,0,2021,4,8-6-0,0.571,1451.43,1384.0,5
Mike,COVIC-TORY,29,1,2021,8,6-8-0,0.429,1577.41,1575.79,8
Kameron,Drunken Monkeys,39,0,2021,1,11-3-0,0.786,1614.65,1348.85,2
Dan,Tarin Holez,24,0,2021,3,9-5-0,0.643,1610.3,1349.26,6
Matthew,Turf Muncher,19,1,2021,10,6-8-0,0.429,1301.17,1429.63,10
Colin,Im a scientist,17,0,2021,7,7-7-0,0.5,1444.75,1465.31,7
Mike,Mr Pig Skinner,56,0,2021,5,8-6-0,0.571,1439.82,1410.39,3
Brian,DaHazzelhoffs,23,0,2021,9,6-8-0,0.429,1394.81,1499.32,9
Alex,BIG DIGGS ENERGY,66,2,2021,2,10-4-0,0.714,1455.06,1257.34,4
Matt Smith,Mongorians,36,1,2021,6,8-6-0,0.571,1406.13,1388.57,1
